country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
au,Central_Coast,Uni,10.0,100.0,0.5,113.85224790173638,180.59403455777033,False,37.93192857907204,81.39669519745911,16.161562499999985,96.04290990528676,43.46476661838707,79.88134740528677,True,True
au,Central_Coast,Uni,10.0,300.0,0.5,113.85224790173638,180.59403455777033,False,57.47254022137102,107.64368051401854,128.90937500000004,92.91709676180314,50.17114029264752,-35.9922782381969,True,False
au,Central_Coast,Uni,10.0,500.0,0.5,113.85224790173638,180.59403455777033,False,62.979463442835474,113.56113322508331,3.552713678800501e-14,92.2501549667102,50.581669782247836,92.25015496671017,True,True
au,Central_Coast,Uni,10.0,100.0,0.8,188.9353641724711,180.59403455777033,True,37.93192857907204,144.547591523724,16.161562499999985,171.12602617602144,106.61566294465197,154.96446367602147,True,True
au,Central_Coast,Uni,10.0,300.0,0.8,188.9353641724711,180.59403455777033,True,57.47254022137102,181.43803968133335,128.90937500000004,168.00021303253794,123.96549945996233,39.0908380325379,True,True
au,Central_Coast,Uni,10.0,500.0,0.8,188.9353641724711,180.59403455777033,True,62.979463442835474,188.64424949581797,3.552713678800501e-14,167.33327123744502,125.66478605298249,167.333271237445,True,True
au,Central_Coast,Uni,10.0,100.0,0.9,202.71872899070073,180.59403455777033,True,37.93192857907204,156.74509127347935,16.161562499999985,184.90939099425114,118.81316269440731,168.74782849425117,True,True
au,Central_Coast,Uni,10.0,300.0,0.9,202.71872899070073,180.59403455777033,True,57.47254022137102,195.00908115975383,128.90937500000004,181.78357785076753,137.5365409383828,52.87420285076749,True,True
au,Central_Coast,Uni,10.0,500.0,0.9,202.71872899070073,180.59403455777033,True,62.979463442835474,202.42761431404756,3.552713678800501e-14,181.1166360556746,139.44815087121208,181.11663605567458,True,True
au,Central_Coast,Uni,10.0,100.0,1.0,210.18612161246944,180.59403455777033,True,37.93192857907204,163.42384942968934,16.161562499999985,192.37678361601976,125.4919208506173,176.2152211160198,True,True
au,Central_Coast,Uni,10.0,300.0,1.0,210.18612161246944,180.59403455777033,True,57.47254022137102,202.381767271378,128.90937500000004,189.25097047253627,144.909227050007,60.34159547253623,True,True
au,Central_Coast,Uni,10.0,500.0,1.0,210.18612161246944,180.59403455777033,True,62.979463442835474,209.89500693581627,3.552713678800501e-14,188.5840286774433,146.9155434929808,188.58402867744329,True,True
au,Central_Coast,LU,10.0,100.0,0.5,118.98885383612662,168.91191516047923,False,35.440457301284106,86.1090337190892,16.161562499999985,102.22484524234576,50.66857641780509,86.06328274234578,True,True
au,Central_Coast,LU,10.0,300.0,0.5,118.98885383612662,168.91191516047923,False,53.70008179195482,113.17770016623604,128.90937500000004,102.85049756925063,59.477618374281214,-26.058877430749405,True,False
au,Central_Coast,LU,10.0,500.0,0.5,118.98885383612662,168.91191516047923,False,58.6507518087147,118.80031168677873,4.263256414560601e-14,103.55665890629605,60.149559878064025,103.55665890629601,True,True
au,Central_Coast,LU,10.0,100.0,0.8,204.6902061506568,168.91191516047923,True,35.440457301284106,159.76110118597495,16.161562499999985,187.92619755687596,124.32064388469084,171.764635056876,True,True
au,Central_Coast,LU,10.0,300.0,0.8,204.6902061506568,168.91191516047923,True,53.70008179195482,197.52135053508903,128.90937500000004,188.55184988378085,143.8212687431342,59.64247488378081,True,True
au,Central_Coast,LU,10.0,500.0,0.8,204.6902061506568,168.91191516047923,True,58.6507518087147,204.50166400130888,4.263256414560601e-14,189.25801122082618,145.8509121925942,189.25801122082612,True,True
au,Central_Coast,LU,10.0,100.0,0.9,216.6753435848436,168.91191516047923,True,35.440457301284106,170.60608359527401,16.161562499999985,199.9113349910627,135.1656262939899,183.7497724910627,True,True
au,Central_Coast,LU,10.0,300.0,0.9,216.6753435848436,168.91191516047923,True,53.70008179195482,209.38605716863472,128.90937500000004,200.53698731796763,155.6859753766799,71.62761231796759,True,True
au,Central_Coast,LU,10.0,500.0,0.9,216.6753435848436,168.91191516047923,True,58.6507518087147,216.48680143549572,4.263256414560601e-14,201.24314865501296,157.836049626781,201.24314865501293,True,True
au,Central_Coast,LU,10.0,100.0,1.0,229.45458307638572,168.91191516047923,True,35.440457301284106,182.28486952145073,16.161562499999985,212.69057448260486,146.84441222016662,196.52901198260489,True,True
